*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised Aug 15, 2018):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean temperature, K      = 270             Volume, km^3    = 1.08321 x 10^12
  Mean effect. IR temp, K  = 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Jan 28 08:00:22 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jan-28 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-28 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2457050.500000000, A.D. 2015-Jan-28 00:00:00.0000, -8.972067721604100E+07,  1.168439338420603E+08, -3.352227650709450E+03, -2.082526564462581E+06, -1.577912019467303E+06,  1.387331141500226E+02,
2457051.500000000, A.D. 2015-Jan-29 00:00:00.0000, -9.178912077750467E+07,  1.152481003275887E+08, -3.220008269034326E+03, -2.054263643749916E+06, -1.613665791644779E+06,  1.251335508821711E+02,
2457052.500000000, A.D. 2015-Jan-30 00:00:00.0000, -9.382901280685803E+07,  1.136167805235245E+08, -3.102935325287282E+03, -2.025425550186624E+06, -1.648884758128366E+06,  1.086099601253437E+02,
2457053.500000000, A.D. 2015-Jan-31 00:00:00.0000, -9.583978389300562E+07,  1.119505088295819E+08, -3.003424089863896E+03, -1.996023435427074E+06, -1.683569649501408E+06,  9.017830022102089E+01,
2457054.500000000, A.D. 2015-Feb-01 00:00:00.0000, -9.782087473491493E+07,  1.102498191968342E+08, -2.922883550018072E+03, -1.966066437413783E+06, -1.717720598316506E+06,  7.083057668729111E+01,
2457055.500000000, A.D. 2015-Feb-02 00:00:00.0000, -9.977173431615783E+07,  1.085152458149383E+08, -2.861752630323172E+03, -1.935562038514058E+06, -1.751336971077147E+06,  5.151156364288170E+01,
2457056.500000000, A.D. 2015-Feb-03 00:00:00.0000, -1.016918183922212E+08,  1.067473239471830E+08, -2.819557049594820E+03, -1.904516342887252E+06, -1.784417231873891E+06,  3.309986700244565E+01,
2457057.500000000, A.D. 2015-Feb-04 00:00:00.0000, -1.035805882390195E+08,  1.049465908981210E+08, -2.794984431944788E+03, -1.872934329738836E+06, -1.816958813831441E+06,  1.639022952288656E+01,
2457058.500000000, A.D. 2015-Feb-05 00:00:00.0000, -1.054375096582104E+08,  1.031135870997573E+08, -2.785976234413683E+03, -1.840820116578717E+06, -1.848958015300832E+06,  2.077956039710216E+00,
2457059.500000000, A.D. 2015-Feb-06 00:00:00.0000, -1.072620522521877E+08,  1.012488572766294E+08, -2.789833109781146E+03, -1.808177232575456E+06, -1.880409950458378E+06, -9.251925316260667E+00,
2457060.500000000, A.D. 2015-Feb-07 00:00:00.0000, -1.090536889663686E+08,  9.935295162467185E+07, -2.803327793046832E+03, -1.775008873360980E+06, -1.911308572182418E+06, -1.712866338381218E+01,
2457061.500000000, A.D. 2015-Feb-08 00:00:00.0000, -1.108118958597504E+08,  9.742642693335991E+07, -2.822818459890783E+03, -1.741318095810503E+06, -1.941646758681767E+06, -2.119295154957967E+01,
2457062.500000000, A.D. 2015-Feb-09 00:00:00.0000, -1.125361520248282E+08,  9.546984760398476E+07, -2.844356857404113E+03, -1.707107917549086E+06, -1.971416426108880E+06, -2.118997884341525E+01,
