*******************************************************************************
 Revised: April 22, 2021              Neptune                               899
 
 PHYSICAL DATA (update 2021-May-03):
  Mass x10^24 (kg)      = 102.409         Density (g/cm^3)       =  1.638
  Equat. radius (1 bar) = 24766+-15 km    Volume, 10^10 km^3     = 6254     
  Vol. mean radius (km) = 24624+-21       Polar radius (km)      = 24342+-30
  Geometric Albedo      = 0.41            Flattening             =  0.0171
  Sid. rot. period (III)= 16.11+-0.01 hr  Sid. rot. rate (rad/s) =  0.000108338 
  Mean solar day, h     =~16.11 h         
  GM (km^3/s^2)         = 6835099.97      GM 1-sigma (km^3/s^2)  = +-10 
  Equ. grav, ge (m/s^2) = 11.15           Pol. grav, gp (m/s^2)  = 11.41+-0.03
  Visual magnitude V(1,0)= -6.87
  Vis. mag. (opposition)=  +7.84          Obliquity to orbit     = 28.32 deg
  Sidereal orbit period = 164.788501027 y Sidereal orbit period  = 60189 d
  Mean daily motion     = 0.006020076dg/d Mean orbit velocity    =  5.43 km/s 
  Atmos. temp. (1 bar)  =  72+-2 K        Escape speed (1 bar)  =  23.5 km/s     
  Aroche(ice)/Rp        =  2.98           Hill's sphere rad., Rp = 4700
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1.54        1.49        1.51
  Maximum Planetary IR (W/m^2)   0.52        0.52        0.52
  Minimum Planetary IR (W/m^2)   0.52        0.52        0.52
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Jan 28 06:33:27 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep097}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1850-Jan-28 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-28 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2396785.500000000, A.D. 1850-Jan-28 00:00:00.0000,  4.110022016443074E+09, -1.792284876202279E+09, -5.777559311575258E+07,  1.842264998793640E+05,  4.324643537110039E+05, -1.315382110810080E+04,
2396795.500000000, A.D. 1850-Feb-07 00:00:00.0000,  4.111862941581069E+09, -1.787959366900578E+09, -5.790717196899021E+07,  1.838675648346629E+05,  4.325730046346549E+05, -1.319897149033922E+04,
2396805.500000000, A.D. 1850-Feb-17 00:00:00.0000,  4.113699279860962E+09, -1.783631929288772E+09, -5.803869225057709E+07,  1.834984147219009E+05,  4.328588271033106E+05, -1.313930606118489E+04,
2396815.500000000, A.D. 1850-Feb-27 00:00:00.0000,  4.115531286258432E+09, -1.779302709896480E+09, -5.817024312832427E+07,  1.829354143056288E+05,  4.330821317929706E+05, -1.311380553781735E+04,
2396825.500000000, A.D. 1850-Mar-09 00:00:00.0000,  4.117359041535928E+09, -1.774971454633513E+09, -5.830167309666240E+07,  1.824977011618402E+05,  4.331653537588494E+05, -1.317249133288344E+04,
2396835.500000000, A.D. 1850-Mar-19 00:00:00.0000,  4.119182230859205E+09, -1.770638176765394E+09, -5.843298238112009E+07,  1.821776199225946E+05,  4.333941295625166E+05, -1.314641459795216E+04,
2396845.500000000, A.D. 1850-Mar-29 00:00:00.0000,  4.121000950905684E+09, -1.766303134716323E+09, -5.856432139154398E+07,  1.816609018500915E+05,  4.336745207815290E+05, -1.308680532223700E+04,
2396855.500000000, A.D. 1850-Apr-08 00:00:00.0000,  4.122815449805611E+09, -1.761966175357228E+09, -5.869559918428385E+07,  1.811437037671362E+05,  4.337769334372419E+05, -1.313205586680897E+04,
2396865.500000000, A.D. 1850-Apr-18 00:00:00.0000,  4.124625475588873E+09, -1.757627148906636E+09, -5.882671948058236E+07,  1.808230278395936E+05,  4.339324943345354E+05, -1.314810429503921E+04,
2396875.500000000, A.D. 1850-Apr-28 00:00:00.0000,  4.126430928200866E+09, -1.753286318244758E+09, -5.895783128693962E+07,  1.803853185904981E+05,  4.342319409138364E+05, -1.307691640702522E+04,
2396885.500000000, A.D. 1850-May-08 00:00:00.0000,  4.128232125349880E+09, -1.748943695487888E+09, -5.908894294386780E+07,  1.798222242580446E+05,  4.343902499554352E+05, -1.308739959197815E+04,
