*******************************************************************************
 Revised: January 26, 2022             Saturn                               699
 
 PHYSICAL DATA:
  Mass x10^26 (kg)      = 5.6834          Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Vol. Mean Radius (km) = 58232+-6        Flattening             =  0.09796
  Geometric Albedo      = 0.47            Rocky core mass (Mc/M) =  0.1027
  Sid. rot. period (III)= 10h 39m 22.4s   Sid. rot. rate (rad/s) =  0.000163785 
  Mean solar day, hrs   =~10.656         
  GM (km^3/s^2)         = 37931206.234    GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01
  Vis. magnitude V(1,0) = -8.88          
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.68 km/s
  Atmos. temp. (1 bar)  = 134+-4 K        Escape speed, km/s    =  35.5          
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         16.8        13.6        15.1
  Maximum Planetary IR (W/m^2)    4.7         4.5         4.6
  Minimum Planetary IR (W/m^2)    4.7         4.5         4.6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Jan 28 06:32:44 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1850-Jan-28 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-28 00:00:00.0000 TDB
Step-size       : 14400 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2396785.500000000, A.D. 1850-Jan-28 00:00:00.0000,  1.385318302517102E+09,  2.643617993624401E+08, -5.955533999500236E+07, -2.028562498653115E+05,  8.167252659988587E+05, -6.447689647179805E+03,
2396795.500000000, A.D. 1850-Feb-07 00:00:00.0000,  1.383264283097944E+09,  2.725251399224289E+08, -5.961908354945593E+07, -2.079265935098398E+05,  8.157572717761497E+05, -6.209777218294768E+03,
2396805.500000000, A.D. 1850-Feb-17 00:00:00.0000,  1.381162099885351E+09,  2.806780678591105E+08, -5.968037248509166E+07, -2.126591394758858E+05,  8.149309265390332E+05, -6.089757684680932E+03,
2396815.500000000, A.D. 1850-Feb-27 00:00:00.0000,  1.379010325723331E+09,  2.888213196168684E+08, -5.973960152427025E+07, -2.174971313584133E+05,  8.137389756122292E+05, -5.786575717805770E+03,
2396825.500000000, A.D. 1850-Mar-09 00:00:00.0000,  1.376810762733630E+09,  2.969547667140324E+08, -5.979701426486216E+07, -2.225343514055048E+05,  8.128114570203350E+05, -5.616153356670948E+03,
2396835.500000000, A.D. 1850-Mar-19 00:00:00.0000,  1.374562406815240E+09,  3.050768259097666E+08, -5.985185218661616E+07, -2.271769134265817E+05,  8.117652903856370E+05, -5.435078492505477E+03,
2396845.500000000, A.D. 1850-Mar-29 00:00:00.0000,  1.372264980360007E+09,  3.131888071270044E+08, -5.990491047331019E+07, -2.321415833974014E+05,  8.105182140192706E+05, -5.136045944821755E+03,
2396855.500000000, A.D. 1850-Apr-08 00:00:00.0000,  1.369920006934952E+09,  3.212894748651708E+08, -5.995583714397898E+07, -2.370385314405818E+05,  8.095824539362257E+05, -5.018018493642212E+03,
2396865.500000000, A.D. 1850-Apr-18 00:00:00.0000,  1.367525738826839E+09,  3.293782571021742E+08, -6.000432640679708E+07, -2.417111887903771E+05,  8.083182596943724E+05, -4.766039957530797E+03,
2396875.500000000, A.D. 1850-Apr-28 00:00:00.0000,  1.365083182258751E+09,  3.374561642583420E+08, -6.005113805236031E+07, -2.467581375193224E+05,  8.070873239254659E+05, -4.512114206525032E+03,
2396885.500000000, A.D. 1850-May-08 00:00:00.0000,  1.362592817768795E+09,  3.455213144609027E+08, -6.009549563073726E+07, -2.514837077401695E+05,  8.060271370017414E+05, -4.389837804157747E+03,
